A,B,C,D,E,F
10,26,61,48,139,232
82,142,35,117,250,153
63,61,10,136,115,75
75,10,25,162,291,130
82,73,95,42,272,15
90,75,198,183,173,205
63,5,81,233,56,165
33,143,84,177,244,211
100,138,128,117,97,176
60,86,178,191,56,138
86,121,147,67,166,97
29,17,143,125,126,324
9,92,79,109,241,336
62,131,70,232,245,214
98,103,195,179,245,50
83,34,152,81,199,153
34,74,84,221,173,334
6,19,46,174,153,81
70,138,94,166,60,341
84,114,50,180,31,11
98,127,139,91,223,292
59,47,87,110,99,118
70,148,7,54,296,204
16,38,53,108,86,240
40,65,165,175,82,86
87,50,112,114,160,286
48,46,157,167,99,263
42,12,102,112,1,14
92,117,11,102,229,60
46,101,78,25,195,158
33,143,93,159,19,172
10,38,74,111,82,209
49,59,84,212,116,310
66,98,72,173,143,159
55,2,65,39,289,247
71,8,81,83,251,113
91,66,51,159,242,193
16,64,7,231,54,173
79,84,67,85,244,61
73,131,118,120,35,313
